AFG;+93
ZAF;+27
ALB;+355
DZA;+213
DEU;+49
AND;+376
AGO;+244
AIA;+1 264
ATA;+672
SAU;+966
ARG;+54
ARM;+374
ABW;+297
AUS;+61
AUT;+43
AZE;+994
BHS;+1
BHR;+973
BGD;+880
BRB;+1
BEL;+32
BLZ;+501
BEN;+229
BMU;+1
BTN;+975
BLR;+375
BOL;+591
BIH;+387
BWA;+267
BRA;+55
BRN;+673
BGR;+359
BFA;+226
BDI;+257
KHM;+855
CMR;+237
CAN;+1
CPV;+238
CAF;+236
CHL;+56
CHN;+86
CYP;+357
COL;+57
COM;+269
PRK;+850
KOR;+82
CRI;+506
CIV;+225
HRV;+385
CUB;+53
CUW;+599
DNK;+45
DJI;+253
DMA;+1
EGY;+20
SLV;+503
ARE;+971
ECU;+593
ERI;+291
ESP;+34
EST;+372
USA;+1
ETH;+251
FJI;+679
FIN;+358
FRA;+33
GAB;+241
GMB;+220
GEO;+995
GHA;+233
GIB;+350
GBR;+44
GRC;+30
GRL;+299
GLP;+590
GUM;+1 671
GTM;+502
GIN;+224
GNQ;+240
GNB;+245
GUY;+592
HTI;+509
HND;+504
HKG;+852
HUN;+36
IMN;+44
MUS;+230
NFK;+672
CYM;+1-345
COK;+682
FLK;+500
FRO;+298
MNP;+1 670
MHL;+692
PCN;+870
SLB;+677
VGB;+1 284
IND;+91
IDN;+62
IRQ;+964
IRN;+98
IRL;+353
ISL;+354
ISR;+972
ITA;+39
JAM;+1
JPN;+81
JOR;+962
KAZ;+7
KEN;+254
KGZ;+996
KIR;+686
XKX;+381
KWT;+965
REU;+262
LAO;+856
LSO;+266
LVA;+371
LBN;+961
LBR;+231
LBY;+218
LIE;+423
LTU;+370
LUX;+352
MAC;+853
MKD;+389
MDG;+261
MYS;+60
MWI;+265
MDV;+960
MLI;+223
MLT;+356
MAR;+212
MRT;+222
MEX;+52
FSM;+691
MDA;+373
MCO;+377
MNG;+976
MNE;+382
MSR;+1 664
MOZ;+258
MMR;+95
NAM;+264
NRU;+674
NPL;+977
NIC;+505
NER;+227
NGA;+234
NIU;+683
NOR;+47
NCL;+687
NZL;+64
OMN;+968
UGA;+256
UZB;+998
PAK;+92
PLW;+680
PAN;+507
PNG;+675
PRY;+595
NLD;+31
PER;+51
PHL;+63
POL;+48
PYF;+689
PRI;+1
PRT;+351
QAT;+974
COD;+243
DOM;+1
COG;+242
CZE;+420
ROU;+40
RUS;+7
RWA;+250
ESH;+212
BLM;+590
KNA;+1
SMR;+378
MAF;+1 599
SPM;+508
VCT;+1
SHN;+290
LCA;+1
WSM;+685
ASM;+1 684
STP;+239
SEN;+221
SRB;+381
SYC;+248
SLE;+232
SGP;+65
SVK;+421
SVN;+386
SOM;+252
SDN;+249
SSD;+211
LKA;+94
SWE;+46
CHE;+41
SUR;+597
SWZ;+268
SYR;+963
TJK;+992
TWN;+886
TZA;+255
THA;+66
TLS;+670
TGO;+228
TKL;+690
TTO;+1
TUN;+216
TKM;+993
TUR;+90
TUV;+688
UKR;+380
URY;+598
VUT;+678
VAT;+39
VEN;+58
VNM;+84
YEM;+967
ZMB;+260
ZWE;+263